,CODIGOPARTICULAR,DESCRIPCIÓN,PEDIDO_PROYECTADO,STOCK,PENDIENTE_TOTAL,STOCK_NETO,CANTIDAD EN PROD,COBERTURA_MESES
1,1130-INOX-GN,COCINA DE PIE ANGOSTA ACERO INOX,15,23,0,23,0,4.6000000000000005
2,1530,COCINA ELECTRICA DE PIE ANGOSTA INOX,30,11,0,11,0,1.0999999999999999
3,2104,MECHERO SIMPLE EPOXI BLANCO GE,950,305,13,292,0,0.9221052631578948
4,2105,MECHERO SIMPLE EPOXI BLANCO GN,260,144,0,144,0,1.6615384615384616
5,21100,COCINA C/HORNO 2 HORNALLAS GE,45,27,0,27,0,1.7999999999999998
6,21101,COCINA C/HORNO 2 HORNALLAS GN,15,11,0,11,0,2.1999999999999997
7,2202,MECHERO DOBLE LOZA NEGRA GE,0,110,0,110,0,0
8,2203,MECHERO DOBLE LOZA NEGRA GN,0,100,0,100,0,0
9,2204,MECHERO DOBLE EPOXI BLANCO GE,1750,1196,45,1151,0,1.973142857142857
10,2205,MECHERO DOBLE EPOXI BLANCO GN,350,301,1,300,0,2.571428571428571
11,2306,MECHERO DOBLE FRONTAL EPOXI BL,0,90,2,88,0,0
12,2307,MECHERO DOBLE FRONTAL EPOXI BL,0,36,2,34,0,0
13,2AIND-107E,QUEMADOR INDUSTRIAL 7500 CAL P/MESA GE (10.5%IVA),0,31,2,29,0,0
14,2AIND-107N,QUEMADOR INDUSTRIAL 7500 CAL P/MESA GN (10.5%IVA),0,26,0,26,0,0
15,2AIND-108E,QUEMADOR INDUSTRIAL DOBLE DE 7500KCAL GE  (10.5%IVA),0,4,0,4,0,0
16,2AIND-108N,QUEMADOR INDUSTRIAL DOBLE DE 7500KCAL GN (10.5%IVA),0,4,0,4,0,0
17,2AIND-307E,QUEMADOR IND. 1H DE 3300 KCAL GE (10.5%IVA),0,17,0,17,0,0
18,2AIND-307N,QUEMADOR INDUSTRIAL DE 1H DE 3300 KCAL GN  (10.5%IVA),0,7,0,7,0,0
19,2AIND-308E,QUEMADOR INDUSTRIAL DE 2H DE 3300 KCAL GE (10.5%IVA),0,1,0,1,0,0
20,2AIND-308N,QUEMADOR INDUSTRIAL DE 2H DE 3300 KCAL GN  (10.5%IVA),0,5,0,5,0,0
21,2INOX-1E,MECHERO SIMPLE 1 H ACERO INOX,0,104,0,104,0,0
22,2INOX-1N,MECHERO SIMPLE 1 H ACERO INOX,0,29,0,29,0,0
23,2INOX-2E,MECHERO DOBLE 2H ACERO INOX GE,0,1,0,1,0,0
24,2INOX-2N,MECHERO DOBLE 2H ACERO INOX GN,0,3,0,3,0,0
25,300,CANILLA DE AGUA GE 6 LTS,120,32,0,32,0,0.8
26,30050,SOPORTE DE MANGUERA DE RIEGO PINTADO DE NEGRO,260,1,44,-43,0,-0.49615384615384617
27,3100,CALEFACTOR ELECTRICO INFRARROJO DE PARED,220,12,0,12,0,0.16363636363636364
28,3150,CALEFACTOR ELECTRICO INFRARROJO DOS POSICIONES HORIZONTAL O VERTICAL,0,227,0,227,1,0
29,400-E,CALENTADOR A GAS - LUJO - ENLOZADO,0,349,0,349,0,0
30,4028,ESTABILIZADOR DE PRESION  P/ 10 KG  C/ MANGUERA,0,625,163,462,2400,0
31,4028-1,ESTABILIZADOR DE PRESION  P/ 10 KG  2MTS,0,1277,152,1125,2400,0
32,4028-3,"ESTABILIZADOR DE PRESION  P/10 KG 1,5MTS",0,1108,210,898,1200,0
33,4029,CABEZA ESTABILIZADOR DE PRESION,0,2907,378,2529,2000,0
34,407,CALENTADOR A GAS - CLASICO - ENLOZADO,3000,2897,21,2876,0,2.876
35,408,CALENTADOR VIAJERO A GAS - NUEVO MODELO - ENLOZADO,1200,1165,8,1157,0,2.8925
37,421,CALENTADOR VIAJERO A GAS - NUEVO MODELO - GALVANIZADO,0,28,1,27,0,0
38,470,QUEMADOR 3000,0,60,6,54,0,0
39,472,QUEMADOR 3000 GALVANIZADO,0,232,1458,-1226,0,0
40,480,QUEMADOR 1500 PARA MICROGARRAF,0,0,90,-90,90,0
41,482,QUEMADOR GALVANIZADO 1500 P/MI,0,0,0,0,0,0
42,490,QUEMADOR 1500,0,303,2500,-2197,1000,0
43,492,QUEMADOR 1500 GALVANIZADO,0,1397,1500,-103,1000,0
44,495,QUEMADOR PARABOLICA,0,37,2400,-2363,0,0
45,5001,BRASERO DE MESA C/MANGO Y PATAS MAD,300,242,13,229,0,2.29
47,5004,BRASERO DE MESA DE ACERO INOXIDABLE,180,255,0,255,0,4.25
48,5005,BRASAS RAPIDAS,240,253,5,248,0,3.1000000000000005
49,5012,TABLA CALIENTE DE MESA PARA ASADO,0,101,1,100,0,0
50,5400,PANTALLA 1300C C/PIL. ANALIZ AMB. GN,0,4,0,4,0,0
51,5401,PANTALLA 1300C C/PIL. ANALIZ. AMB. GE,0,2,0,2,0,0
52,540-E,QUEMADOR 1500 GN V Y T,0,150,0,150,100,0
53,540-E-CM,QUEMADOR 1500 GN V Y T CAJA MA,0,0,96,-96,84,0
54,541-E,QUEMADOR 1500 GE V Y T,0,106,0,106,0,0
55,541-E-CM,QUEMADOR 1500 GE V Y T CAJA MA,0,0,144,-144,132,0
56,555,QUEMADOR 1500-3000 GN V Y R,0,2,0,2,0,0
57,555-CM,QUEMADOR 1500-3000 GN V Y R CA,0,144,0,144,0,0
58,556,QUEMADOR 1500/3000  GE V Y R,0,0,0,0,0,0
59,556-CM,QUEMADOR 1500-3000 GE V Y T CA,0,112,0,112,0,0
60,5600,PANTALLA 2600C C/PIL ANALIZ DE AMB. GN,0,174,0,174,0,0
61,5601,PANTALLA 2600C C/PIL.ANALIZ.DE AMB. GE,0,66,0,66,0,0
62,560-E,QUEMADOR 3000 GN VM Y T,0,2,0,2,0,0
63,560-E-CM,QUEMADOR 3000 GN V Y T CAJA MA,0,0,424,-424,416,0
64,560-R,QUEMADOR 3000 GN R,0,4,0,4,0,0
65,561-E,QUEMADOR 3000 GE V Y T,0,24,0,24,0,0
66,561-E-CM,QUEMADOR 3000 GE V Y T CAJA MA,0,0,176,-176,176,0
67,561-R,QUEMADOR 3000 GE R,0,76,0,76,0,0
68,563,QUEMADOR 3000 GN C/R0B,0,4,0,4,0,0
69,5955,PANTALLA 3000-6000 CAL 2 VIAS C/PIL GN,0,21,0,21,0,0
70,5956,PANTALLA 3000-6000 CAL 2 VIAS C/PIL GE,0,11,0,11,0,0
71,596,QUEMADOR 3000/6000 GE V Y R,0,0,1,-1,0,0
72,6003,PARRILLA PLEGADIZA RECTANGULAR,0,29,2,27,0,0
73,6004,PARRILLA PLEGABLE DE ENRROLLAR,230,89,9,80,0,1.0434782608695652
74,6005,PARRILLA ENCASTRABLE PORTATIL,0,1,0,1,0,0
75,6006,PARRILLA REGULABLE 2 VARILLAS,0,20,0,20,0,0
76,6007,PARRILLA TIJERA PORTATIL,0,0,0,0,0,0
77,6012,PARRILLA CHICA REGULABLE,0,37,0,37,0,0
78,6013,PARRILLA GRANDE REGULABLE,0,31,1,30,0,0
79,6015,PARRILLA PORTEÑA,9,0,0,0,0,0
80,6025,PARRILLA PARA PESCADO/CARNE DE,0,225,0,225,0,0
81,6027,SELLADOR DE CARNE,0,185,2,183,0,0
82,6028,BANDEJA PARA ASAR VEGETALES,0,62,0,62,0,0
83,6030,CRUZ PARA ASADOR CRIOLLO,0,1,0,1,0,0
84,6050,ESPATULA PIZZERA EN ACERO,1200,564,13,551,0,1.3775
85,6051,ESPATULA ESCURRIDORA EN ACERO,0,523,14,509,0,0
86,6052,PINZA PARRILLERA DENTADA.,0,523,1,522,0,0
87,6054,PINZA GOURMET,390,309,1,308,0,2.3692307692307693
88,6055,PALA PARA HORNO PIZZERO,500,90,40,50,242,0.30000000000000004
89,6056,PALA PARA GIRAR PIZZA RECTANGULAR LARGA,300,257,31,226,0,2.26
90,6060,FOGONERO MULTI-ASADOR DESARMABLE CON REGULACIÓN DE ALTURA,30,0,0,0,0,0
91,6070,HORNO MULTIFUNCION (10.5%IVA) PORTATIL A LEÑA/CARBON COCIUTO (10.5%IVA),0,31,0,31,0,0
92,6080,HORNO PIZZERO 6 MOLDES GN (10.5%IVA),0,15,0,15,0,0
93,6081,HORNO PIZZERO 6 MOLDES GE (10.5%IVA),0,3,0,3,0,0
94,6082,BASE HORNO PIZZERO 6 MOLDES,0,13,0,13,0,0
95,6113,TENEDOR LARGO PARRILLERO NIQUELADO,0,212,0,212,0,0
96,6115,PINZA LARGA PARRILLERA NIQUELADA,0,703,0,703,0,0
99,6121,PINCHE CHORICERO NIQUELADO,0,128,0,128,0,0
100,6135,SET ACCESORIOS PARRILLEROS PREMIUM,300,95,6,89,0,0.8900000000000001
101,6140,SET DE 5 ACCESORIOS PARRILLERO,300,275,0,275,0,2.75
103,6142,ESPATULA BIFERA EN ACERO,4500,1560,42,1518,0,1.012
104,6143,BIFERA CHICA - 1 HORNALLA SOLAPA 3CM,150,251,4,247,0,4.94
105,6145,BIFERA MEDIANA - 2 HORNALLAS SOLAPA 3CM,300,161,3,158,0,1.5799999999999998
106,6148,DISCO PAELLERO CON PATAS DESMONTABLES Ø40 CM,1050,970,1,969,0,2.7685714285714287
108,6150,BRASERO URUGUAYO,300,362,2,360,0,3.5999999999999996
109,6152,MOLDE HUEVOS SIMPLE PARA PLANCHA BIFERA,1500,569,4,565,0,1.13
110,6153,MOLDE HUEVOS DOBLE PARA PLANCHA BIFERA,650,457,10,447,0,2.063076923076923
111,6154,PRENSA HAMBURGUESAS SMASHER Ø 11CM,1800,1134,23,1111,1400,1.8516666666666666
112,6155,PRENSA HAMBURGUESAS ACERO INOX  Ø 11CM,0,144,22,122,0,0
113,6156,PRENSA HAMBURGUESAS SMASHER Ø 15CM,0,6,3,3,0,0
114,6163,BIFERA PARRILLERA DE 1 HORNALLA CON SOLAPA DE 3 CM Y MANIJAS INCORPORADAS,0,100,1,99,0,0
116,6170,DISCO PAELLERO C/PATAS DESM. Ø30CMXH7CM,390,456,12,444,0,3.4153846153846152
117,6171,TAPA PARA DISCO PAELLERO Ø30 CM,360,282,11,271,0,2.2583333333333333
118,6178,SARTÉN PROVOLETERA N°15,0,282,0,282,0,0
119,6180,SARTÉN DE HIERRO NRO. 20,0,184,0,184,0,0
120,6182,SARTÉN DE HIERRO NRO. 25,0,164,0,164,0,0
121,6184,SARTÉN DE HIERRO NRO. 30,0,39,0,39,180,0
122,6210,HORNO PIZZERO SOBRE HORNALLAS,40,12,1,11,41,0.8250000000000001
123,6220,PARRILLA ELECTRICA PORTATIL CON TAPA CHICA,0,0,0,0,0,0
124,6301,BOMBILLA PLANA DE ACERO 145 MM,0,1231,0,1231,0,0
125,6302,BOMBILLA PLANA DE ACERO 165 MM,0,278,0,278,0,0
126,6310,SORBETE DE ACERO INOXIDABLE Ø6.35  LARGO 195 MM,0,88,0,88,0,0
127,70500,SOPORTE PORTA ESPIRAL INSECTICIDA,300,268,0,268,0,2.6799999999999997
128,8100,ANAFE 1H LOZA NEGRA C/TERMOCUPLA GE -104,150,159,0,159,0,3.18
129,8100-BA,ANAFE 1H L BLANCA C/TERM Q/ALUMI GE -104,45,74,0,74,0,4.933333333333334
130,8101,ANAFE 1H LOZA NEGRA C/TERMOCUPLA GN -104,450,238,0,238,0,1.5866666666666664
131,8101-BA,ANAFE 1H L BLANCA C/TERM Q/ALUMI GN -104,150,103,0,103,0,2.06
132,8202,ANAFE 2H LOZA NEGRA C/TERMOCUPLA GE -204,150,256,0,256,0,5.12
133,8202-B,ANAFE 2H LOZA BLANCA C/TERMOCUPLA GE-204,60,60,0,60,0,3
134,8203,ANAFE 2H LOZA NEGRA C/TERMOCUPLA GN -204,260,336,0,336,0,3.8769230769230774
135,8203-B,ANAFE 2H LOZA BLANCA C/TERMOCUPLA GN-204,120,97,0,97,0,2.425
136,BIO-02,CALENTADOR BIO MASA PLEGABLE,270,167,4,163,0,1.8111111111111113
137,CAL-A01,CALOVENTOR DE AIRE VERTICAL 10,0,115,0,115,0,0
138,ESC-02N,ESCALERA METALICA 2 ESCALONES GRIS,105,3,2,1,0,0.028571428571428574
139,ESC-03N,ESCALERA METALICA 3 ESCALONES GRIS,150,1,2,-1,0,-0.02
140,ESC-04N,ESCALERA METALICA 4 ESCALONES GRIS,90,3,0,3,0,0.1
141,ESC-05N,ESCALERA METALICA 5 ESCALONES GRIS,90,5,2,3,0,0.1
142,FG-274,QUEMADOR BROGAS P/DISCO DE ARADO Ø 38 CM C/UN ROBINETE 6500KCAL BI-GAS,150,106,0,106,0,2.12
143,FG-275,QUEMADOR PAELLERO BROGAS Ø 27 CM C/UN ROBINETE 5000KCAL BI-GAS,320,35,19,16,101,0.15000000000000002
144,FG-276,QUEMADOR PAELLERO BROGAS Ø 38 CM C/UN ROBINETE 5000KCAL BI-GAS,210,150,15,135,0,1.9285714285714288
145,FG-277,QUEMADOR PAELLERO BROGAS Ø 38 CM C/DOS ROBINETE 5000KCAL BI-GAS,180,34,5,29,0,0.4833333333333334
147,GL-02,FAROL 500 BUJIAS C/JAULA,0,0,0,0,0,0
148,GL-06,CALENTADOR P/CARTUCHO SIST. CL,150,20,0,20,0,0.4
151,MES-2,MESA PLEGABLE ALUMINIO 58X58X65,0,69,0,69,0,0
152,PC-1,PORTACUBIERTOS P/2 PERSONAS,0,56,0,56,0,0
153,PC-2,PORTA CUBIERTOS P/2 PERSONAS P,0,0,0,0,0,0
154,PLA-001,PLANCHA SECA CON ROCIADOR,0,196,12,184,0,0
155,PLA-002,PLANCHA CON ROCIADOR Y VAPOR,0,1612,0,1612,0,0
